127.0.0.1 - - [12/May/2024:23:50:08 +0900] "GET / HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:10 +0900] "GET / HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:10 +0900] "GET /re/js/bootstrap.bundle.min.js HTTP/1.1" 200 80721
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:10 +0900] "GET /re/css/bootstrap.min.css HTTP/1.1" 200 232803
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:10 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:11 +0900] "GET /user/login HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:18 +0900] "GET /user/register HTTP/1.1" 200 2906
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:18 +0900] "GET /re/js/bootstrap.bundle.min.js HTTP/1.1" 200 80721
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:18 +0900] "GET /re/css/bootstrap.min.css HTTP/1.1" 200 232803
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:18 +0900] "GET /user/resources/js/userRegister.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:18 +0900] "GET /user/login HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:18 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2024:23:50:18 +0900] "GET /user/login HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [12/May/2024:23:51:24 +0900] "POST /user/register HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [12/May/2024:23:51:24 +0900] "GET /re/js/bootstrap.bundle.min.js HTTP/1.1" 200 80721
0:0:0:0:0:0:0:1 - - [12/May/2024:23:51:24 +0900] "GET /re/css/bootstrap.min.css HTTP/1.1" 200 232803
0:0:0:0:0:0:0:1 - - [12/May/2024:23:51:24 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2024:23:51:24 +0900] "GET /user/login HTTP/1.1" 200 2569
